1,2010-02-05,2010,2,February,1,6,Non-Holiday
9,2010-04-02,2010,4,April,2,14,Non-Holiday
17,2010-05-28,2010,5,May,2,22,Non-Holiday
25,2010-07-23,2010,7,July,3,30,Non-Holiday
33,2010-09-17,2010,9,September,3,38,Non-Holiday
41,2010-11-12,2010,11,November,4,46,Non-Holiday
49,2011-01-07,2011,1,January,1,2,Non-Holiday
57,2011-03-04,2011,3,March,1,10,Non-Holiday
65,2011-04-29,2011,4,April,2,18,Non-Holiday
73,2011-06-24,2011,6,June,2,26,Non-Holiday
81,2011-08-19,2011,8,August,3,34,Non-Holiday
89,2011-10-14,2011,10,October,4,42,Non-Holiday
97,2011-12-09,2011,12,December,4,50,Non-Holiday
105,2012-02-03,2012,2,February,1,5,Non-Holiday
113,2012-03-30,2012,3,March,1,13,Non-Holiday
121,2012-05-25,2012,5,May,2,21,Non-Holiday
129,2012-07-20,2012,7,July,3,29,Non-Holiday
137,2012-09-14,2012,9,September,3,37,Non-Holiday
5,2010-03-05,2010,3,March,1,10,Non-Holiday
13,2010-04-30,2010,4,April,2,18,Non-Holiday
21,2010-06-25,2010,6,June,2,26,Non-Holiday
29,2010-08-20,2010,8,August,3,34,Non-Holiday
37,2010-10-15,2010,10,October,4,42,Non-Holiday
45,2010-12-10,2010,12,December,4,50,Non-Holiday
53,2011-02-04,2011,2,February,1,6,Non-Holiday
61,2011-04-01,2011,4,April,2,14,Non-Holiday
69,2011-05-27,2011,5,May,2,22,Non-Holiday
77,2011-07-22,2011,7,July,3,30,Non-Holiday
85,2011-09-16,2011,9,September,3,38,Non-Holiday
93,2011-11-11,2011,11,November,4,46,Non-Holiday
101,2012-01-06,2012,1,January,1,1,Non-Holiday
109,2012-03-02,2012,3,March,1,9,Non-Holiday
117,2012-04-27,2012,4,April,2,17,Non-Holiday
125,2012-06-22,2012,6,June,2,25,Non-Holiday
133,2012-08-17,2012,8,August,3,33,Non-Holiday
141,2012-10-12,2012,10,October,4,41,Non-Holiday
7,2010-03-19,2010,3,March,1,12,Non-Holiday
15,2010-05-14,2010,5,May,2,20,Non-Holiday
23,2010-07-09,2010,7,July,3,28,Non-Holiday
31,2010-09-03,2010,9,September,3,36,Non-Holiday
39,2010-10-29,2010,10,October,4,44,Non-Holiday
47,2010-12-24,2010,12,December,4,52,Non-Holiday
55,2011-02-18,2011,2,February,1,8,Non-Holiday
63,2011-04-15,2011,4,April,2,16,Non-Holiday
71,2011-06-10,2011,6,June,2,24,Non-Holiday
79,2011-08-05,2011,8,August,3,32,Non-Holiday
87,2011-09-30,2011,9,September,3,40,Non-Holiday
95,2011-11-25,2011,11,November,4,48,Holiday
103,2012-01-20,2012,1,January,1,3,Non-Holiday
111,2012-03-16,2012,3,March,1,11,Non-Holiday
119,2012-05-11,2012,5,May,2,19,Non-Holiday
127,2012-07-06,2012,7,July,3,27,Non-Holiday
135,2012-08-31,2012,8,August,3,35,Non-Holiday
143,2012-10-26,2012,10,October,4,43,Non-Holiday
3,2010-02-19,2010,2,February,1,8,Non-Holiday
11,2010-04-16,2010,4,April,2,16,Non-Holiday
19,2010-06-11,2010,6,June,2,24,Non-Holiday
27,2010-08-06,2010,8,August,3,32,Non-Holiday
35,2010-10-01,2010,10,October,4,40,Non-Holiday
43,2010-11-26,2010,11,November,4,48,Holiday
51,2011-01-21,2011,1,January,1,4,Non-Holiday
59,2011-03-18,2011,3,March,1,12,Non-Holiday
67,2011-05-13,2011,5,May,2,20,Non-Holiday
75,2011-07-08,2011,7,July,3,28,Non-Holiday
83,2011-09-02,2011,9,September,3,36,Non-Holiday
91,2011-10-28,2011,10,October,4,44,Non-Holiday
99,2011-12-23,2011,12,December,4,52,Non-Holiday
107,2012-02-17,2012,2,February,1,7,Non-Holiday
115,2012-04-13,2012,4,April,2,15,Non-Holiday
123,2012-06-08,2012,6,June,2,23,Non-Holiday
131,2012-08-03,2012,8,August,3,31,Non-Holiday
139,2012-09-28,2012,9,September,3,39,Non-Holiday
2,2010-02-12,2010,2,February,1,7,Holiday
10,2010-04-09,2010,4,April,2,15,Non-Holiday
18,2010-06-04,2010,6,June,2,23,Non-Holiday
26,2010-07-30,2010,7,July,3,31,Non-Holiday
34,2010-09-24,2010,9,September,3,39,Non-Holiday
42,2010-11-19,2010,11,November,4,47,Non-Holiday
50,2011-01-14,2011,1,January,1,3,Non-Holiday
58,2011-03-11,2011,3,March,1,11,Non-Holiday
66,2011-05-06,2011,5,May,2,19,Non-Holiday
74,2011-07-01,2011,7,July,3,27,Non-Holiday
82,2011-08-26,2011,8,August,3,35,Non-Holiday
90,2011-10-21,2011,10,October,4,43,Non-Holiday
98,2011-12-16,2011,12,December,4,51,Non-Holiday
106,2012-02-10,2012,2,February,1,6,Holiday
114,2012-04-06,2012,4,April,2,14,Non-Holiday
122,2012-06-01,2012,6,June,2,22,Non-Holiday
130,2012-07-27,2012,7,July,3,30,Non-Holiday
138,2012-09-21,2012,9,September,3,38,Non-Holiday
6,2010-03-12,2010,3,March,1,11,Non-Holiday
14,2010-05-07,2010,5,May,2,19,Non-Holiday
22,2010-07-02,2010,7,July,3,27,Non-Holiday
30,2010-08-27,2010,8,August,3,35,Non-Holiday
38,2010-10-22,2010,10,October,4,43,Non-Holiday
46,2010-12-17,2010,12,December,4,51,Non-Holiday
54,2011-02-11,2011,2,February,1,7,Holiday
62,2011-04-08,2011,4,April,2,15,Non-Holiday
70,2011-06-03,2011,6,June,2,23,Non-Holiday
78,2011-07-29,2011,7,July,3,31,Non-Holiday
86,2011-09-23,2011,9,September,3,39,Non-Holiday
94,2011-11-18,2011,11,November,4,47,Non-Holiday
102,2012-01-13,2012,1,January,1,2,Non-Holiday
110,2012-03-09,2012,3,March,1,10,Non-Holiday
118,2012-05-04,2012,5,May,2,18,Non-Holiday
126,2012-06-29,2012,6,June,2,26,Non-Holiday
134,2012-08-24,2012,8,August,3,34,Non-Holiday
142,2012-10-19,2012,10,October,4,42,Non-Holiday
4,2010-02-26,2010,2,February,1,9,Non-Holiday
12,2010-04-23,2010,4,April,2,17,Non-Holiday
20,2010-06-18,2010,6,June,2,25,Non-Holiday
28,2010-08-13,2010,8,August,3,33,Non-Holiday
36,2010-10-08,2010,10,October,4,41,Non-Holiday
44,2010-12-03,2010,12,December,4,49,Non-Holiday
52,2011-01-28,2011,1,January,1,5,Non-Holiday
60,2011-03-25,2011,3,March,1,13,Non-Holiday
68,2011-05-20,2011,5,May,2,21,Non-Holiday
76,2011-07-15,2011,7,July,3,29,Non-Holiday
84,2011-09-09,2011,9,September,3,37,Holiday
92,2011-11-04,2011,11,November,4,45,Non-Holiday
100,2011-12-30,2011,12,December,4,53,Holiday
108,2012-02-24,2012,2,February,1,8,Non-Holiday
116,2012-04-20,2012,4,April,2,16,Non-Holiday
124,2012-06-15,2012,6,June,2,24,Non-Holiday
132,2012-08-10,2012,8,August,3,32,Non-Holiday
140,2012-10-05,2012,10,October,4,40,Non-Holiday
8,2010-03-26,2010,3,March,1,13,Non-Holiday
16,2010-05-21,2010,5,May,2,21,Non-Holiday
24,2010-07-16,2010,7,July,3,29,Non-Holiday
32,2010-09-10,2010,9,September,3,37,Holiday
40,2010-11-05,2010,11,November,4,45,Non-Holiday
48,2010-12-31,2010,12,December,4,53,Holiday
56,2011-02-25,2011,2,February,1,9,Non-Holiday
64,2011-04-22,2011,4,April,2,17,Non-Holiday
72,2011-06-17,2011,6,June,2,25,Non-Holiday
80,2011-08-12,2011,8,August,3,33,Non-Holiday
88,2011-10-07,2011,10,October,4,41,Non-Holiday
96,2011-12-02,2011,12,December,4,49,Non-Holiday
104,2012-01-27,2012,1,January,1,4,Non-Holiday
112,2012-03-23,2012,3,March,1,12,Non-Holiday
120,2012-05-18,2012,5,May,2,20,Non-Holiday
128,2012-07-13,2012,7,July,3,28,Non-Holiday
136,2012-09-07,2012,9,September,3,36,Holiday
